Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
(+/-)-threo-3-hydroxy-2-(toluene-4-sulfonylamino)-valeric acid; (+/-)-threo-3-Hydroxy-2-(toluol-4-sulfonylamino)-valeriansaeure,[H][C@@](O)(CC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,287.337,,2840,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.284 g Substance.,YAACXIWJDMJCIM-MNOVXSKESA-N
(+/-)-erythro-3-hydroxy-2-(toluene-4-sulfonylamino)-valeric acid; (+/-)-erythro-3-Hydroxy-2-(toluol-4-sulfonylamino)-valeriansaeure,[H][C@](O)(CC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,287.337,,570,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.057 g Substance.,YAACXIWJDMJCIM-QWRGUYRKSA-N
"5-phenyl-5-(2-piperidino-ethyl)-imidazolidine-2,4-dione; 5-Phenyl-5-(2-piperidino-aethyl)-imidazolidin-2,4-dion",O=C1NC(=O)C(CCN2CCCCC2)(N1)C1=CC=CC=C1,287.362,,2900,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :0.29 percent.,OFILSBVTOAEBBS-UHFFFAOYSA-N
N-(4-nitro-toluene-2-sulfonyl)-alanine; N-(4-Nitro-toluol-2-sulfonyl)-alanin,CC(NS(=O)(=O)C1=C(C)C=CC(=C1)N(=O)=O)C(O)=O,288.281,67320-40-5,1449.27,12,Article; Siegfried; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 43; (1904); p. 68;,H2O,1 part(s) of substance.dissolves in:690 parts of solvent.,TVQAUZKNFJQEJF-UHFFFAOYSA-N
"2-(2,5-dihydroxy-benzoyloxy)-5-hydroxy-benzoic acid; 2-(2,5-Dihydroxy-benzoyloxy)-5-hydroxy-benzoesaeure; 5-Oxy-2-(2.5-dioxy-benzoyloxy)-benzoesaeure; Digentisinsaeure",OC(=O)C1=C(OC(=O)C2=C(O)C=CC(O)=C2)C=CC(O)=C1,290.229,,1111.11,0,"Article; Fischer,E.; Freudenberg; Justus Liebigs Annalen der Chemie; vol. 384; (1911); p. 233;",H2O,1 part(s) of substance.dissolves in:900 parts of solvent.,YPPSLAMICVKPBR-UHFFFAOYSA-N
Chlormethantrisulfonsaeure; chloro-methanetrisulfonic acid; Chlor-methantrisulfonsaeure,OS(=O)(=O)C(Cl)(S(O)(=O)=O)S(O)(=O)=O,290.68,76371-36-3,2547000,25,Article; Perret; Biechler; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 203; (1936); p. 85;,H2O,100 g solvent dissolves. 254.7 g Substance.,AASRJJKRVOUFBO-UHFFFAOYSA-N
"(3,7-dimethyl-2,6-dioxo-2,3,6,7-tetrahydro-purin-1-yl)-acetic acid diethylamide; (3,7-Dimethyl-2,6-dioxo-2,3,6,7-tetrahydro-purin-1-yl)-essigsaeure-diaethylamid",CCN(CC)C(=O)CN1C(=O)N(C)C2=C(N(C)C=N2)C1=O,293.326,,7800,25,"Article; Masi; Ricerca Scientifica; vol. 22; (1952); p. 1596,1599;",H2O,Solubility :0.78 percent.,IQTLXVUCYDGNSL-UHFFFAOYSA-N
(5-ethoxy-2-lactoylamino-phenyl)-carbamic acid ethyl ester; (5-Aethoxy-2-lactoylamino-phenyl)-carbamidsaeure-aethylester; 3-Carbaethoxyamino-4-lactylamino-phenetol; 3-Aethoxy-6-lactylamino-phenylurethan,CCOC(=O)NC1=C(NC(=O)C(C)O)C=CC(OCC)=C1,296.323,,5000,15,Article; Maron; Bloch; Chemische Berichte; vol. 47; (1914); p. 721;; ; Patent; Bayer & Co.; DE286460; Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 12; p. 685;,H2O,1 part(s) of substance.dissolves in:200 parts of solvent.,DOWHSRPYVPEZCN-UHFFFAOYSA-N
(+/-)-erythro-3-methoxy-2-(toluene-4-sulfonylamino)-valeric acid; (+/-)-erythro-3-Methoxy-2-(toluol-4-sulfonylamino)-valeriansaeure,[H][C@@](CC)(OC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,301.364,,310,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.031 g Substance.,QPDMTRIGKDMQOT-RYUDHWBXSA-N
(+/-)-threo-3-methoxy-2-(toluene-4-sulfonylamino)-valeric acid; (+/-)-threo-3-Methoxy-2-(toluol-4-sulfonylamino)-valeriansaeure,[H][C@](CC)(OC)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,301.364,,600,0,"Article; Izumiya; Nippon Kagaku Zasshi; vol. 72; (1951); p. 784,785; Chem.Abstr.; (1953); p. 1599;",H2O,100 g solvent dissolves. 0.06 g Substance.,QPDMTRIGKDMQOT-NEPJUHHUSA-N
N2-(2-bromo-4-methyl-valeryl)-asparagine; N2-(2-Brom-4-methyl-valeryl)-asparagin,CC(C)CC(Br)C(=O)NC(CC(N)=O)C(O)=O,309.16,,8000,25,"Article; Fischer,E.; Koenigs; Chemische Berichte; vol. 37; (1904); p. 4590; Chemische Berichte; vol. 40; (1907); p. 2049;",H2O,1 part(s) of substance.dissolves in:100-150 parts of solvent.; <d-alpha-bromo-isocaproyl>-l-asparagine,FIIULLVFTJXSIT-UHFFFAOYSA-N
acetone-[4-(4'-nitro-biphenyl-4-yl)-semicarbazone]; Aceton-[4-(4'-nitro-biphenyl-4-yl)-semicarbazon],C\C(C)=N/NC(=O)NC1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O,312.328,,1,20,"Article; Barre; Piche; Canadian Journal of Research, Section B: Chemical Sciences; vol. 20; (1942); p. 17,19;",H2O,Solubility :0.0001 percent.,UXFFYVMPRPUHJK-UHFFFAOYSA-N
"5-ethyl-5-[2-(2-diethylamino-ethoxy)-phenyl]-imidazolidine-2,4-dione; 5-Aethyl-5-[2-(2-diaethylamino-aethoxy)-phenyl]-imidazolidin-2,4-dion",CCN(CC)CCOC1=C(C=CC=C1)C1(CC)NC(=O)NC1=O,319.404,,1600,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :0.16 percent.,GOXCBTZAGZSWNA-UHFFFAOYSA-N
"5-ethyl-5-[4-(2-diethylamino-ethoxy)-phenyl]-imidazolidine-2,4-dione; 5-Aethyl-5-[4-(2-diaethylamino-aethoxy)-phenyl]-imidazolidin-2,4-dion",CCN(CC)CCOC1=CC=C(C=C1)C1(CC)NC(=O)NC1=O,319.404,,6300,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :0.63 percent.,PLQJWNTVEWKVOK-UHFFFAOYSA-N
"D-glucaric acid bis-butylamide; D-Glucarsaeure-bis-butylamid; D-Glucarsaeure-N,N'-dibutylamid",[H][C@](O)(C(=O)NCCCC)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)C(=O)NCCCC,320.386,6614-45-5,2500,24.5,Article; Kurtz; Wilson; Journal of Biological Chemistry; vol. 129; (1939); p. 695;,H2O,100 g solvent dissolves. 0.25 g Substance.,VPIYOAPBIPFIAH-FIQHERPVSA-N
2-Naphthylsulfonylglycylglycin; N-[N-(naphthalene-2-sulfonyl)-glycyl]-glycine; N-[N-(Naphthalin-2-sulfonyl)-glycyl]-glycin,OC(=O)CNC(=O)CNS(=O)(=O)C1=CC2=CC=CC=C2C=C1,322.342,93886-70-5,647.25,20,"Article; Fischer,E.; Bergell; Chemische Berichte; vol. 35; (1902); p. 3780,3781; Chemische Berichte; vol. 37; (1904); p. 3107;",H2O,1 part(s) of substance.dissolves in:1545 parts of solvent.,UDUALFJGGCLPRJ-UHFFFAOYSA-N
"3beta,7beta,16alpha,17beta-tetrahydroxyandrost-5-ene; androst-5-ene-3beta,7beta,16alpha,17beta-tetrol; HE3177",[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C=C2C[C@@H](O)CC[C@]12C,322.445,1001100-64-6,560.88,22,"Article; Ahlem, Clarence N.; Page, Theodore M.; Auci, Dominick L.; Kennedy, Michael R.; Mangano, Katia; Nicoletti, Ferdinando; Ge, Yu; Huang, Yujin; White, Steven K.; Villegas, Sonia; Conrad, Douglas; Wang, Angela; Reading, Christopher L.; Frincke, James M.; Steroids; vol. 76; 1-2; (2011); p. 145 - 155;",water,Solubility: 1740 mumol/l,DBJXJRIEZQPLSN-WGNZAZMQSA-N
"3alpha,7beta,16alpha,17beta-tetrahydroxyandrost-5-ene; androst-5-ene-3alpha,7beta,16alpha,17beta-tetrol; HE3413",[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C=C2C[C@H](O)CC[C@]12C,322.445,1001100-66-8,9318.66,22,"Article; Ahlem, Clarence N.; Page, Theodore M.; Auci, Dominick L.; Kennedy, Michael R.; Mangano, Katia; Nicoletti, Ferdinando; Ge, Yu; Huang, Yujin; White, Steven K.; Villegas, Sonia; Conrad, Douglas; Wang, Angela; Reading, Christopher L.; Frincke, James M.; Steroids; vol. 76; 1-2; (2011); p. 145 - 155;",water,Solubility: 28900 mumol/l,DBJXJRIEZQPLSN-WKCUVNKGSA-N
"5-[4-(2-diethylamino-ethoxy)-phenyl]-5-propyl-imidazolidine-2,4-dione; 5-[4-(2-Diaethylamino-aethoxy)-phenyl]-5-propyl-imidazolidin-2,4-dion",CCCC1(NC(=O)NC1=O)C1=CC=C(OCCN(CC)CC)C=C1,333.431,,1900,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :0.19 percent.,MVWUUGSGQHBHCT-UHFFFAOYSA-N
"2,4'',5-trichloro-p-terphenyl; 2,5,4''-Trichlor-p-terphenyl",ClC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(Cl)=CC=C1Cl,333.644,61576-93-0,7.41E-10,25,"Article; Dickhut, Rebecca M.; Miller, Kristine E.; Andren, Anders W.; Chemosphere; vol. 29; 2; (1994); p. 283 - 298;",H2O,Solubility: 2.22e-09 mol-percent,PERMVKOWFVIOCX-UHFFFAOYSA-N
10-bromo-phenanthrene-3-sulfonic acid; 10-Brom-phenanthren-3-sulfonsaeure,OS(=O)(=O)C1=CC2=C(C=C1)C(Br)=CC1=C2C=CC=C1,337.194,,100000,15,Article; Sandqvist; Justus Liebigs Annalen der Chemie; vol. 417; (1918); p. 32; Chemisches Zentralblatt; vol. 89; II; (1918); p. 1032;,H2O,100 g solvent dissolves. >10 g Substance.,HRANQSSWOCZJIN-UHFFFAOYSA-N
"2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dimethanol, alpha,alpha,alpha',alpha'-tetramethyl-3,9-dioxide",CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(OC2)C(C)(C)O,344.238,66063-49-8,2014.48,24.85,"Article; Fan, Rui-Lan; Wang, Li-Sheng; Guo, Ting-Ting; Wu, Jun-Sheng; Journal of Chemical and Engineering Data; vol. 52; 4; (2007); p. 1340 - 1342;",H2O,Solubility: 0.5852 molpercent,XSTCQMIXQXXYCY-UHFFFAOYSA-N
"3,7-dimethyl-6-(4-(trifluoromethyl)benzyl)quinoline-5,8-dione; 6-(4-(trifluoromethyl)benzyl)-3,7-dimethylquinoline-5,8-dione",CC1=CC2=C(N=C1)C(=O)C(C)=C(CC1=CC=C(C=C1)C(F)(F)F)C2=O,345.321,1393101-84-2,0.1,20,"Article; Lanfranchi, Don Antoine; Cesar-Rodo, Elena; Bertrand, Benoit; Huang, Hsin-Hung; Day, Latasha; Johann, Laure; Elhabiri, Mourad; Becker, Katja; Williams, David L.; Davioud-Charvet, Elisabeth; Organic and Biomolecular Chemistry; vol. 10; 31; (2012); p. 6375 - 6387;",water,Solubility: 0.29 mumol/l,BWLVJWVJFCORJC-UHFFFAOYSA-N
"7-(4-(trifluoromethyl)benzyl)-3,6-dimethylquinoline-5,8-dione",CC1=CC2=C(N=C1)C(=O)C(CC1=CC=C(C=C1)C(F)(F)F)=C(C)C2=O,345.321,1393101-76-2,0.03,20,"Article; Lanfranchi, Don Antoine; Cesar-Rodo, Elena; Bertrand, Benoit; Huang, Hsin-Hung; Day, Latasha; Johann, Laure; Elhabiri, Mourad; Becker, Katja; Williams, David L.; Davioud-Charvet, Elisabeth; Organic and Biomolecular Chemistry; vol. 10; 31; (2012); p. 6375 - 6387;",water,Solubility: 0.08 mumol/l,CPNRELLPLDLWTR-UHFFFAOYSA-N
"7-(4-bromobenzyl)-3,6-dimethylquinoline-5,8-dione",CC1=CC2=C(N=C1)C(=O)C(CC1=CC=C(Br)C=C1)=C(C)C2=O,356.219,1393101-74-0,0.01,20,"Article; Lanfranchi, Don Antoine; Cesar-Rodo, Elena; Bertrand, Benoit; Huang, Hsin-Hung; Day, Latasha; Johann, Laure; Elhabiri, Mourad; Becker, Katja; Williams, David L.; Davioud-Charvet, Elisabeth; Organic and Biomolecular Chemistry; vol. 10; 31; (2012); p. 6375 - 6387;",water,Solubility: 0.03 mumol/l,PIYBBASFABJOFM-UHFFFAOYSA-N
,COCCN(CCOC)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O,367.282,26389-77-5,137,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.0137 weight-percent,RDQCKAXWNNCELQ-UHFFFAOYSA-N
"2,4,4'',6-tetrachloro-p-terphenyl; 2,4,6,4''-Tetrachlor-p-terphenyl",ClC1=CC=C(C=C1)C1=CC=C(C=C1)C1=C(Cl)C=C(Cl)C=C1Cl,368.089,61576-97-4,0.31,25,"Article; Dickhut, Rebecca M.; Miller, Kristine E.; Andren, Anders W.; Chemosphere; vol. 29; 2; (1994); p. 283 - 298;",H2O,Solubility: 8.51e-1 mol-percent,WDBLRJMGICHAKX-UHFFFAOYSA-N
"3-bromo-2,3-diiodo-acrylic acid; 3-Brom-2,3-dijod-acrylsaeure; 3-bromo-2,3-diiodoacrylic acid",OC(=O)C(\I)=C(\Br)I,402.753,83442-56-2,20673.97,20,Article; Mabery; Lloyd; American Chemical Journal; vol. 3; (1881); p. 127;,H2O,1 part(s) of substance.dissolves in:48.37 parts of solvent.,BWTBNELHFHOXGK-OWOJBTEDSA-N
"2-ethyl-hexanoic acid-{bis-[2-(2-ethyl-hexanoyloxy)-ethyl]-amide}; 2-Aethyl-capronsaeure-{bis-[2-(2-aethyl-caproyloxy)-aethyl]-amid}; 2-Aethyl-hexansaeure-{bis-[2-(2-aethyl-hexanoyloxy)-aethyl]-amid}; 2-ethyl-hexanoic acid, [(2-ethyl-1-oxohexyl)imino]di-2,1-ethanediyl ester",CCCCC(CC)C(=O)OCCN(CCOC(=O)C(CC)CCCC)C(=O)C(CC)CCCC,483.733,134-67-8,100,20,Patent; Carbide & Carbon Chem.Corp.; US2472900; (1946);,H2O,Solubility :0.01 percent.,YYIIMEOVMYJQST-UHFFFAOYSA-N
"3-amino-2,4,5,6-tetrabromo-benzenesulfonic acid; 3-Amino-2,4,5,6-tetrabrom-benzolsulfonsaeure; 2.4.5.6-Tetrabrom-anilin-sulfonsaeure-(3)",NC1=C(Br)C(Br)=C(Br)C(=C1Br)S(O)(=O)=O,488.777,,21.7,11,Article; Beckurts; Justus Liebigs Annalen der Chemie; vol. 181; (1876); p. 216;,H2O,100 g solvent dissolves. 2.17 mg Substance.,ASIIZGRTILNQRM-UHFFFAOYSA-N
"2-amino-3,4,5,6-tetrabromo-benzenesulfonic acid; 2-Amino-3,4,5,6-tetrabrom-benzolsulfonsaeure; 3.4.5.6-Tetrabrom-anilin-sulfonsaeure-(2)",NC1=C(C(Br)=C(Br)C(Br)=C1Br)S(O)(=O)=O,488.777,,298,11,Article; Spiegelberg; Justus Liebigs Annalen der Chemie; vol. 197; (1879); p. 257;,H2O,100 g solvent dissolves. 0.0298 g Substance.,AIPLTKVVGLQKGI-UHFFFAOYSA-N
2-nonanone cyanohydrin,CCCCCCCC(C)(O)C#N,169.267,77316-68-8,500,20,"Article; Ogibin, Yu. N.; Velibekova, D. S.; Katsin, M. I.; Troyanskii, E. I.; Nikishin, G. I.; Bulletin of the Academy of Sciences of the USSR, Division of Chemical Science (English Translation); vol. 30; 1; (1981); p. 127 - 133; Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya; 1; (1981); p. 149 - 156;",H2O,Solubility: 0.05 p(g/100g solution),OKOATPXSNBENJP-UHFFFAOYSA-N
,CCCCSCCOCCO,178.296,23387-78-2,19612.56,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.11 mol/kg,RHRBIPVXZYRKDO-UHFFFAOYSA-N
"(-)-1-(1,2-dicarboxy-ethyl)-pyridinium betaine; (-)-1-(1,2-Dicarboxy-aethyl)-pyridinium-betain",OC(=O)CC(C([O-])=O)[N+]1=CC=CC=C1,195.175,59137-44-9,16400,18,Article; Lutz; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 41; (1909); p. 1581; Chemische Berichte; vol. 43; (1910); p. 2636; Chemisches Zentralblatt; vol. 71; II; (1900); p. 1012;,H2O,1.64 part(s) of substance.dissolves in:100 parts of solvent.,SKISTOOMZBRPLT-UHFFFAOYSA-N
"2-[(2-hydroxyethyl)dimethylammonio]ethanesulfonate; 2-<(2-Hydroxy-aethyl)-dimethyl-ammonio>-aethan-sulfonsaeure-(1)-betain, <2-HYdroxy-aethyl>-dimethyltaurinbetain; 2-[(2-Hydroxy-aethyl)-dimethyl-ammonio]-aethan-sulfonsaeure-(1)-betain, (2-HYdroxy-aethyl)-dimethyltaurinbetain",C[N+](C)(CCO)CCS([O-])(=O)=O,197.255,91673-91-5,527000,30,"Article; Barnhurst,J.D.; Journal of Organic Chemistry; vol. 26; (1961); p. 4520 - 4522;",H2O,Solubility: 52.7 p(g/100g solution),BVXLNVUPFNBTKO-UHFFFAOYSA-N
,CCCCCCSCCOCCO,206.349,87064-01-5,1588.89,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.0077 mol/kg,RZRAIUMCYHFWCL-UHFFFAOYSA-N
"(3-hydroxy-1,5,5-trimethylcyclohexyl)methylisothiocyanate",CC1(C)CC(O)CC(C)(CN=C=S)C1,213.344,,230,25,"Article; Tajima; Kimoto; Taketo; Taketo; Bioscience, biotechnology, and biochemistry; vol. 62; 3; (1998); p. 491 - 495;",H2O,Solubility: 0.023 weight-percent,MODXDVACOYKJHY-UHFFFAOYSA-N
,CCCCSCCOCCOCCO,222.349,111290-05-2,29572.42,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.133 mol/kg,VOYOIGCUHRVCTO-UHFFFAOYSA-N
(S)-N-benzyl-2-hydroxy-succinamic acid; (S)-N-Benzyl-2-hydroxy-succinamidsaeure,O[C@@H](CC(=O)NCC1=CC=CC=C1)C(O)=O,223.229,141650-65-9,13900,18,Article; Lutz; Chemische Berichte; vol. 37; (1904); p. 2125; Chemisches Zentralblatt; vol. 71; II; (1900); p. 1011;,H2O,1.39 part(s) of substance.dissolves in:100 parts of solvent.,AWENCJBDNVGPNN-VIFPVBQESA-N
,CCCCCCCCSCCOCCO,234.403,87064-00-4,131.27,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.00056 mol/kg,OPFRXVSGBZCPFM-UHFFFAOYSA-N
,CCCCCCCCSCCOCCOCCO,278.456,33091-94-0,194.92,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.00070 mol/kg,PQTOSHDDJMDWTF-UHFFFAOYSA-N
"2-hydroxy-N-(3,4-dimethyl-5-isoxazolyl)-1,4-naphthoquinone 4-imine 1-<O-(carboxymethyl)oxime>; 2-hydroxy-N-(3,4-dimethyl-5-isoxazolyl)-1,4-naphthoquinone 4-imine 1-[O-(carboxymethyl)oxime]",CC1=NOC(/N=C2\C=C(O)C(=NOCC(O)=O)C3=CC=CC=C23)=C1C,341.323,,93,25,Article; Sperandeo; de Bertorello; Brinon; Journal of pharmaceutical sciences; vol. 83; 3; (1994); p. 332 - 335;,H2O,Solubility: 0.0093 p(g/100g solution),UKNRKCGOFASYEU-MBNPSQQBSA-N
"(22S)-3alpha,7alpha,23-trihydroxy-5beta-cholan-24-oic acid; (23S)-3alpha,7alpha,23-trihydroxy-5beta-cholan-24-oic acid",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)C[C@H](O)C(O)=O,408.579,105880-09-9,180,25,"Article; Pellicciari, Roberto; Natalini, Benedetto; Roda, Aldo; Machado, M. Iracema Lacerda; Marinozzi, Maura; Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999); (1989); p. 1289 - 1296;",H2O,Solubilty: 180 <unit not given>,SLDVWYDDPPFGHK-CIEAULFFSA-N
"N.N.N'.N'.N''.N''-hexamethyl-pararosaniline-tris hydroxymethylate; 4.4'.4''-Tris-dimethylamino-triphenylcarbinol-tris-hydroxymethylat; N.N.N'.N'.N''.N''-Hexamethyl-pararosanilin-tris-hydroxymethylat; 4.4'.4''-Tris-dimethylamino-triphenylcarbinol-tris-jodmethylat; Nona-N-methyl-4,4',4''-hydroxymethantriyl-tri-anilinium; N.N.N'.N'.N''.N''-Hexamethyl-pararosanilin-tris-jodmethylat",C[N+](C)(C)C1=CC=C(C=C1)C(O)(C1=CC=C(C=C1)[N+](C)(C)C)C1=CC=C(C=C1)[N+](C)(C)C,434.645,54897-20-0,160800,16,Article; Rosenstiehl; Bulletin de la Societe Chimique de France; vol. <3>13; (1895); p. 557 Anm.;,H2O,16.08 part(s) of substance.dissolves in:100 parts of solvent.,VVLMUVOAKQJMSQ-UHFFFAOYSA-N
"6-({6-[2-(ethyl-methyl-amino)-ethyl]-4-methoxy-benzo[1,3]dioxol-5-yl}-acetyl)-2,3-dimethoxy-benzoic acid; 6-({6-[2-(Aethyl-methyl-amino)-aethyl]-4-methoxy-benzo[1,3]dioxol-5-yl}-acetyl)-2,3-dimethoxy-benzoesaeure",CCN(C)CCC1=CC2=C(OCO2)C(OC)=C1CC(=O)C1=C(C(O)=O)C(OC)=C(OC)C=C1,459.496,,7142.86,20,Article; Dott; Pharmaceutical Journal; vol. 121; p. 620; Chemisches Zentralblatt; vol. 100; I; (1929); p. 2058;,H2O,1 part(s) of substance.dissolves in:140 parts of solvent.,CCJWWYKFUBSJKK-UHFFFAOYSA-N
2-O-<(R)-2-hydroxypropyl>-beta-cyclodextrin; 2-O-((R)-2-hydroxypropyl)-beta-cyclodextrin,C[C@@H](O)CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1193.08,130904-74-4,7500,22,"Article; Lindberg, Bengt; Lindberg, Johan; Pitha, Josef; Rao, C. Trinadha; Harata, Kazuaki; Carbohydrate Research; vol. 222; (1991); p. 113 - 120;",H2O,Solubilty: 0.75 weight-percent,AWDODIOBYTUSHB-DOUHMLCJSA-N
2-O-<(S)-2-hydroxypropyl>-beta-cyclodextrin; 2-O-((S)-2-hydroxypropyl)-beta-cyclodextrin,C[C@H](O)CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1193.08,130981-23-6,3200,22,"Article; Lindberg, Bengt; Lindberg, Johan; Pitha, Josef; Rao, C. Trinadha; Harata, Kazuaki; Carbohydrate Research; vol. 222; (1991); p. 113 - 120;",H2O,Solubilty: 0.32 weight-percent,AWDODIOBYTUSHB-WFRPESLFSA-N
2-benzoylpyridine 6'-chloro-4'-pyrimidinylhydrazone,ClC1=CC(NN=C(C2=CC=CC=C2)C2=CC=CC=N2)=NC=N1,309.758,,8.24,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 2.66E-05 mol/1000g,JDPHMKIKVPGTDG-UHFFFAOYSA-N
2-benzoylpyridine 6'-chloro-3'-pyridazinylhydrazone,ClC1=NN=C(NN=C(C2=CC=CC=C2)C2=CC=CC=N2)C=C1,309.758,,3.93,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 1.27E-05 mol/1000g,LSQJSBBLFRSSCA-UHFFFAOYSA-N
4-methyl-1-(methylsulfinylmethyl)-7-thiabicyclo[3.3.1]non-3-en-2-one-7-oxide,CC1=CC(=O)C2(CS(C)=O)CC1CS(=O)C2,260.378,,80000,20,Article; Ulendeeva; Baeva; Nikitina; Spirikhin; Vasil'eva; Lyapina; Petroleum Chemistry; vol. 44; 5; (2004); p. 358 - 362;,H2O,Solubility: 8 weight-percent,TYSFUPJFNIPTEV-UHFFFAOYSA-N
hexyl beta-D-maltoside; hexyl-beta-D-maltopyranoside,CCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,426.461,,693100,25,"Article; Li, Zhencao; Chen, Guoyong; Chen, Langqiu; Zhang, Yanhua; Dai, Zhiyong; Journal of Surfactants and Detergents; vol. 22; 4; (2019);",water,Solubility: 69.31 g/100g solvent,KRYKGRXIHMMFCB-YMJSIHPXSA-N
heptyl beta-D-maltoside,CCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,440.488,884382-98-3,550600,25,"Article; Li, Zhencao; Chen, Guoyong; Chen, Langqiu; Zhang, Yanhua; Dai, Zhiyong; Journal of Surfactants and Detergents; vol. 22; 4; (2019);",water,Solubility: 55.06 g/100g solvent,SFYPRNXNFGGELX-CRINDFDSSA-N
